"Source","Surround With Quick Menu","⌥⌘Z","JavaScript View"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","In Windows"
"Source","Quick Assist - Assign to var","⌘2 F","Editing JavaScript Source"
"C/C++ Source","Comment/Uncomment","⌘/","C/C++ Editor"
"C/C++ Source","Find Declaration","⌘G","C/C++ Editor"
"Git","Compare With HEAD","⌃⌘G .","In Windows"
"Text Editing","Next Column","⌃F","Editing Text"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"C/C++ Source","Go to Matching Bracket","⇧⌘P","C/C++ Editor"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Views","Expand All","⌥⌘+","Aptana Outline"
"Aptana","Mark Occurrences","⇧⌥O","Aptana Editor"
"Edit","Cut","⌃W","In Dialogs and Windows"
"Run/Debug","Run Android Application","⇧⌥A R","In Windows"
"Git","Status","⌃⌘G S","In Windows"
"Project","Make Target Build","⇧F9","In Windows"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Run/Debug","Go to Address...","⌘G","In Disassembly"
"Refactor - JavaScript","Extract Function","⌥⌘M","JavaScript View"
"Edit","Restore Last C/C++ Selection","⇧⌃↓","C/C++ Editor"
"Run/Debug","Run JUnit Plug-in Test","⌥⌘X P","In Windows"
"Refactor - C++","Extract Function - Refactoring ","⌥⌘M","C/C++ Editor"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Navigate","Go to Next Member","⌃⌥↓","Editing JavaScript Source"
"Spy","Plug-in Menu Spy","⇧⌥F2","In Dialogs and Windows"
"Text Editing","Text Start","↖","Editing Text"
"Edit","Find and Replace","Esc R","In Windows"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"C/C++ Source","Indent Line","⌘I","C/C++ Editor"
"Navigate","Previous","⇧⌘.","In Windows"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Refactor - JavaScript","Extract Local Variable","⌥⌘L","JavaScript View"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"File","Save","⌃X ⌃S","In Windows"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"Git","Add Remote...","⌃⌘G E","In Windows"
"Text Editing","Scroll Line Up","Esc Z","Editing Text"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"PyDev - Editor","Python Uncomment","⌘\","PyDev editor scope"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Edit","Find Next","⌘K","Find Bar"
"C/C++ Source","Toggle Mark Occurrences","⌥⌘O","C/C++ Editor"
"Views","Expand to Level ()","⌥⌘8","Aptana Outline"
"Text Editing","Delete Next","⌃D","Editing Text"
"Source","Indent Line","⌘I","Editing JavaScript Source"
"Run/Debug","Run RWT Application","⇧⌥X 3","In Windows"
"Edit","Undo","⇧⌃-","In Windows"
"PyDev - Editor","Python Go To Definition","F3","PyDev editor scope"
"Git","Commit","⌥⌘C","In Windows"
"Text Editing","Delete Line","⌘D","Editing Text"
"C/C++ Source","Forward","⌥→","In Macro Expansion Hover"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Text Editing","Text Start","Esc <","Editing Text"
